形式,No,正誤,画像,問題文,選択,選択,選択,選択,選択
5,1,ハ,,生産の基本活動に関する記述として、適切でないものはどれか。,生産設計は、製品の品質機能を展開し、製品の諸特性を決め、製造方法や材料を決める活動である。,小日程計画では、工程ごとの生産時期を決める。,差立ては、生産に必要な品目とその所要量、品質、必要時期などを決める活動である。,最終製品の検査·調整は、市場や顧客に対して品質を保証するために重要な活動である。,バッファーとしての在庫は、生産等の活動に伴って生じる様々な変動を吸収するために置かれる。
5,2,ロ,,MRP(Material Requirements Planning)システムに直接、関連する用語として、適切でないものはどれか。,独立需要品目と従属需要品目,生産の平準化と1個流し,サマリー表とストラクチャー表,タイムフェイズとタイムバケット,プライオリティ計画、キャパシティ計画及びショップフロア·コントロール
5,3,イ,,市場や顧客がメーカーに求める事柄を、一般に「需要の三要素」と呼んでいるが、この三要素の組合せとして、適切なものはどれか。,品質　価格　納期,技術　品質　価格,作業者　納期　品質,原材料　納期　価格,技術　品質　納期
5,4,ホ,パート(PERT)図.png,下図は、あるプロジェクトのパート(PERT)図であるが、プロジェクトの開始から全ての仕事を終了するまでに要する最も短い日数はどれか。,9日,10日,11日,12日,13日
5,5,ロ,,現品管理の目的に関する記述として、適切でないものはどれか。,仕掛品の数量の確認,工程の不具合発生防止策の作成,資材の保管状況の確認,棚卸しによる在庫の有無の確認,購入部品の保管状況の見える化
5,6,ハ,,進度管理(進捗管理)の活動に関する記述として、適切でないものはどれか。,遅延があれば対策をとる。,仕事の出来高を調査する。,仕掛品の運搬·移動の状況を把握·管理する。,予定に対する進捗の状況を調査する。,日々の仕事の進行具合を調査する。
5,7,ハ,,日本産業規格(JIS)の「生産管理用語」の余力管理における余力の定義として、正しいものはどれか。,生産計画に対する作業の進捗具合,各工程の職場余裕の時間,能力と負荷との差,作業の段取工数,作業者の遊休時間
5,8,二,ABC分析.png,"下図は、在庫品目を一定期間における在庫金額が多い順にABC分析したものである。
品目ごとに異なる管理を行うが、次の記述のうち、適切でないものはどれか。",A区分は、品目ごとに予測を行い、発注間隔や調達リードタイムを短くする。,A区分は、現品管理を徹底する。,B区分は、定量発注方式をとる。,C区分は、混載を避けて運搬を頻繁に行う。,C区分は、発注業務などの事務管理の手間を少なくする。
5,9,ロ,,作業の標準化に関する記述として、適切なものはどれか。,直接作業時間は、主体作業時間、準備段取作業時間及び余裕時間に区分される。,生産の合理化は、「改善→標準化→改善→標準化…」を繰り返し行うことである。,作業の標準化の対象として、物的要素に対しては、生産活動の容易化·安定化を目的に、一定化·明文化·規定化の方向を考える。,作業の標準化の効果として、付加価値の向上に結びつくが、顧客満足度の向上には結びつかない。,標準時間資料法は、経験見積法と同様に、直接測定法に含まれる。
5,10,二,,動作経済の原則に関する記述として、適切なものはどれか。,両手は同時に、同一方向に動かす。,使用する身体部位は、できるだけ大きい範囲にする。,材料や工具は、作業員の側面や背後に配置する。,作業位置、作業台、いす等の高さは、作業員に適したものにする。,材料や製品の移動は、水平移動を避けて上下移動にする。
